Provincia,Año,Número de escaños
Madrid,2008,37
Madrid,2008,37
Barcelona,2008,32
Barcelona,2008,32
Valencia,2008,16
Valencia,2008,16
Sevilla,2008,12
Sevilla,2008,12
Alicante,2008,12
Alicante,2008,12
Málaga,2008,11
Málaga,2008,11
Murcia,2008,10
Murcia,2008,10
Cádiz,2008,9
Cádiz,2008,9
Baleares,2008,8
Baleares,2008,8
La Coruña,2008,8
La Coruña,2008,8
Las Palmas,2008,8
Las Palmas,2008,8
Asturias,2008,7
Asturias,2008,7
Granada,2008,7
Granada,2008,7
Pontevedra,2008,7
Pontevedra,2008,7
Santa Cruz de Tenerife,2008,7
Santa Cruz de Tenerife,2008,7
Zaragoza,2008,7
Zaragoza,2008,7
Almería,2008,6
Almería,2008,6
Córdoba,2008,6
Córdoba,2008,6
Gerona,2008,6
Gerona,2008,6
Guipúzcoa,2008,6
Guipúzcoa,2008,6
Tarragona,2008,6
Tarragona,2008,6
Toledo,2008,6
Toledo,2008,6
Badajoz,2008,5
Badajoz,2008,5
Cantabria,2008,5
Cantabria,2008,5
Castellón,2008,5
Castellón,2008,5
Ciudad Real,2008,5
Ciudad Real,2008,5
Huelva,2008,5
Huelva,2008,5
Jaén,2008,5
Jaén,2008,5
Navarra,2008,5
Navarra,2008,5
Valladolid,2008,5
Valladolid,2008,5
Álava,2008,4
Álava,2008,4
Albacete,2008,4
Albacete,2008,4
Burgos,2008,4
Burgos,2008,4
Cáceres,2008,4
Cáceres,2008,4
León,2008,4
León,2008,4
Lérida,2008,4
Lérida,2008,4
Lugo,2008,4
Lugo,2008,4
Orense,2008,4
Orense,2008,4
La Rioja,2008,4
La Rioja,2008,4
Salamanca,2008,4
Salamanca,2008,4
Ávila,2008,3
Ávila,2008,3
Cuenca,2008,3
Cuenca,2008,3
Guadalajara,2008,3
Guadalajara,2008,3
Huesca,2008,3
Huesca,2008,3
Palencia,2008,3
Palencia,2008,3
Segovia,2008,3
Segovia,2008,3
Teruel,2008,3
Teruel,2008,3
Zamora,2008,3
Zamora,2008,3
Soria,2008,2
Soria,2008,2
Ceuta,2008,1
Ceuta,2008,1
Melilla,2008,1
Melilla,2008,1
Madrid,2011,37
Madrid,2011,37
Barcelona,2011,32
Barcelona,2011,32
Valencia,2011,16
Valencia,2011,16
Sevilla,2011,12
Sevilla,2011,12
Alicante,2011,12
Alicante,2011,12
Málaga,2011,11
Málaga,2011,11
Murcia,2011,10
Murcia,2011,10
Cádiz,2011,9
Cádiz,2011,9
Baleares,2011,8
Baleares,2011,8
La Coruña,2011,8
La Coruña,2011,8
Las Palmas,2011,8
Las Palmas,2011,8
Asturias,2011,7
Asturias,2011,7
Granada,2011,7
Granada,2011,7
Pontevedra,2011,7
Pontevedra,2011,7
Santa Cruz de Tenerife,2011,7
Santa Cruz de Tenerife,2011,7
Zaragoza,2011,7
Zaragoza,2011,7
Almería,2011,6
Almería,2011,6
Córdoba,2011,6
Córdoba,2011,6
Gerona,2011,6
Gerona,2011,6
Guipúzcoa,2011,6
Guipúzcoa,2011,6
Tarragona,2011,6
Tarragona,2011,6
Toledo,2011,6
Toledo,2011,6
Badajoz,2011,5
Badajoz,2011,5
Cantabria,2011,5
Cantabria,2011,5
Castellón,2011,5
Castellón,2011,5
Ciudad Real,2011,5
Ciudad Real,2011,5
Huelva,2011,5
Huelva,2011,5
Jaén,2011,5
Jaén,2011,5
Navarra,2011,5
Navarra,2011,5
Valladolid,2011,5
Valladolid,2011,5
Álava,2011,4
Álava,2011,4
Albacete,2011,4
Albacete,2011,4
Burgos,2011,4
Burgos,2011,4
Cáceres,2011,4
Cáceres,2011,4
León,2011,4
León,2011,4
Lérida,2011,4
Lérida,2011,4
Lugo,2011,4
Lugo,2011,4
Orense,2011,4
Orense,2011,4
La Rioja,2011,4
La Rioja,2011,4
Salamanca,2011,4
Salamanca,2011,4
Ávila,2011,3
Ávila,2011,3
Cuenca,2011,3
Cuenca,2011,3
Guadalajara,2011,3
Guadalajara,2011,3
Huesca,2011,3
Huesca,2011,3
Palencia,2011,3
Palencia,2011,3
Segovia,2011,3
Segovia,2011,3
Teruel,2011,3
Teruel,2011,3
Zamora,2011,3
Zamora,2011,3
Soria,2011,2
Soria,2011,2
Ceuta,2011,1
Ceuta,2011,1
Melilla,2011,1
Melilla,2011,1
Madrid,2015,37
Madrid,2015,37
Barcelona,2015,32
Barcelona,2015,32
Valencia,2015,16
Valencia,2015,16
Sevilla,2015,12
Sevilla,2015,12
Alicante,2015,12
Alicante,2015,12
Málaga,2015,11
Málaga,2015,11
Murcia,2015,10
Murcia,2015,10
Cádiz,2015,9
Cádiz,2015,9
Baleares,2015,8
Baleares,2015,8
La Coruña,2015,8
La Coruña,2015,8
Las Palmas,2015,8
Las Palmas,2015,8
Asturias,2015,7
Asturias,2015,7
Granada,2015,7
Granada,2015,7
Pontevedra,2015,7
Pontevedra,2015,7
Santa Cruz de Tenerife,2015,7
Santa Cruz de Tenerife,2015,7
Zaragoza,2015,7
Zaragoza,2015,7
Almería,2015,6
Almería,2015,6
Córdoba,2015,6
Córdoba,2015,6
Gerona,2015,6
Gerona,2015,6
Guipúzcoa,2015,6
